112,52
110,34
44,26
19,28
16,22
43,109
94,83
101,54
98,47
87,52
88,43
100,20
105,14
84,3
87,10
86,17
60,17
56,12
48,8
29,10
14,66
23,64
18,57
27,57
23,49
24,37
34,51
60,53
65,65
63,103
84,88
80,79
80,72
62,74
95,62
108,63
103,71
56,86
72,90
74,109
66,82
60,28
77,24
85,32
80,36
15,80
48,93
54,97
45,83
50,57
56,65
54,47
58,40
46,41
52,33
95,93
34,90
41,35
68,28
103,41
96,34
71,73
63,93
38,59
63,46
90,101
31,109
112,44
48,66
14,38
50,23
75,64
48,76
30,82
68,37
37,19
92,70
22,78
38,10
76,9
88,80
27,21
2,19
32,31
33,98
