105,35
104,27
115,26
114,40
104,42
117,33
97,32
89,26
77,18
51,44
57,49
101,79
105,74
36,88
40,93
60,104
54,95
74,91
69,97
14,69
17,59
100,99
104,94
90,88
90,97
87,103
83,98
111,59
82,12
89,15
63,9
85,38
75,32
75,81
105,84
65,116
76,103
60,91
47,60
29,81
22,80
21,72
114,109
100,89
108,52
53,80
63,57
77,38
78,25
97,68
51,30
61,29
41,25
36,30
16,40
35,22
56,19
79,56
99,57
94,75
83,70
90,43
86,48
68,45
89,81
83,86
80,76
68,62
52,69
44,50
38,44
46,67
88,58
70,28
23,28
30,27
26,35
30,66
28,58
24,53
109,100
105,105
47,96
60,70
36,81
41,100
11,63
55,25
51,37
45,40
52,53
118,73
55,62
45,88
41,77
66,80
67,91
31,42
66,23
31,17
39,11
97,49
36,54
29,49
95,93
117,83
112,75
104,62
83,31
99,13
74,9
66,16
13,77
22,90
15,91
53,8
6,82
4,70
4,63
77,48
72,72
98,21
