73,83
37,104
52,104
60,104
70,106
60,116
53,89
47,95
62,94
106,58
108,50
110,43
100,38
102,29
97,19
87,21
76,23
65,25
72,33
64,39
41,28
27,31
16,22
17,34
27,39
23,56
20,45
5,42
47,38
37,20
31,14
24,10
42,8
62,12
52,26
95,54
31,44
26,75
23,69
10,68
37,62
34,52
38,37
30,86
15,78
54,73
47,79
35,69
41,73
46,63
50,47
59,54
59,44
51,55
81,52
76,58
72,67
77,43
89,45
90,38
110,79
104,69
100,87
110,88
108,96
114,99
97,80
59,81
66,79
63,73
81,74
89,86
77,97
81,104
84,95
92,102
97,95
64,5
69,50
59,65
63,59
67,64
90,77
97,65
82,61
90,115
44,44
113,34
42,53
34,27
25,102
80,29
