82,36
98,36
104,36
105,27
96,30
98,42
101,49
92,43
87,46
80,27
86,29
88,23
76,36
67,30
67,20
45,13
48,33
62,34
58,21
107,65
100,65
90,62
93,55
84,62
86,57
87,70
82,68
82,81
90,79
99,76
94,74
97,84
89,85
80,86
77,82
72,77
72,72
66,67
67,77
69,87
78,64
72,64
80,59
78,47
80,42
73,46
62,48
52,46
56,40
42,60
49,59
48,54
61,58
57,65
54,61
70,57
73,51
42,72
48,85
51,72
34,58
32,44
25,52
26,64
30,67
28,72
24,81
34,89
44,94
54,91
59,92
14,40
100,96
115,101
67,108
88,102
91,95
79,105
34,103
41,48
34,80
86,14
95,101
64,86
67,51
69,43
24,59
24,70
48,38
40,55
41,66
50,78
29,77
18,46
23,41
26,37
24,27
39,32
36,23
69,98
69,93
38,83
43,88
60,111
55,110
72,103
103,61
82,54
82,11
68,9
56,31
87,75
54,83
85,93
91,90
30,16
62,75
73,110
67,36
84,120
107,106
110,51
86,39
53,36
88,51
51,101
13,52
31,33
82,21
76,18
64,62
46,65
18,36
59,102
78,99
56,78
25,46
63,96
78,75
76,69
91,67
98,106
72,39
56,55
37,45
48,20
51,26
19,53
41,40
26,110
104,100
29,85
